"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","D-2","PA14","PAO1","SF416"
"fliA","","","4","4","1","1","2900","","","","743","743","743","NNL25_RS18430","PA14_45630","PA1455","QLX61_RS19080"
"PA5210","","","4","4","1","1","1763","","","","1784","1784","1784","NNL25_RS27685","PA14_68820","PA5210","QLX61_RS27645"
"fleN","","","4","4","1","1","2901","","","","842","842","842","NNL25_RS18435","PA14_45640","PA1454","QLX61_RS19085"
"gmk","","","4","4","1","1","1632","","","","611","611","611","NNL25_RS28335","PA14_70440","PA5336","QLX61_RS28290"
"QLX61_RS29050","","","4","4","1","1","1481","","","","161","161","161","NNL25_RS29095","PA14_72370","PA5482","QLX61_RS29050"
"rpsC","","","4","4","1","1","6388","","","","686","686","686","NNL25_RS03630","PA14_08910","PA4257","QLX61_RS03615"
"group_2489","arsC","","4","4","1","1","4101","","","","470","470","470","NNL25_RS14245","PA14_35100","PA2279","QLX61_RS14265"
"mexA","","","4","4","1","1","6701","","","","1151","1151","1151","NNL25_RS02115","PA14_05530","PA0425","QLX61_RS02245"
"QLX61_RS17585","","","4","4","1","1","2666","","","","140","140","140","NNL25_RS17355","PA14_42960","PA1664","QLX61_RS17585"
"PA1190","","","4","4","1","1","2491","","","","599","599","599","NNL25_RS19780","PA14_49050","PA1190","QLX61_RS19940"
"nuoB","","","4","4","1","1","4557","","","","677","677","677","NNL25_RS11930","PA14_30010","PA2638","QLX61_RS12300"
"rpmC","","","4","4","1","1","6386","","","","191","191","191","NNL25_RS03640","PA14_08930","PA4255","QLX61_RS03625"
"PA0943","","","4","4","1","1","751","","","","716","716","716","NNL25_RS21280","PA14_52060","PA0943","QLX61_RS21215"
"ndk","","","4","4","1","1","5917","","","","431","431","431","NNL25_RS05905","PA14_14820","PA3807","QLX61_RS05900"
"PA14_22420","","","4","4","1","1","5287","","","","266","266","266","NNL25_RS08790","PA14_22420","PA3229","QLX61_RS08830"
"QLX61_RS26845","","","4","4","1","1","1905","","","","707","707","707","NNL25_RS26955","PA14_66990","PA5071","QLX61_RS26845"
"PA2957","","","4","4","1","1","4956","","","","638","638","638","NNL25_RS10165","PA14_25800","PA2957","QLX61_RS10200"
"tli1","","","4","4","1","1","5371","","","","554","554","554","NNL25_RS08455","PA14_21480","PA3291","QLX61_RS08495"
"pqqA","","","4","4","1","1","363","","","","71","71","71","NNL25_RS15710","PA14_38825","PA1985","QLX61_RS15935"
"bosR","","","4","4","1","1","2724","","","","440","440","440","NNL25_RS17650","PA14_43720","PA1607","QLX61_RS17880"
"NNL25_RS18110","","","4","4","1","1","2865","","","","1349","1349","1349","NNL25_RS18110","PA14_44800","PA1519","QLX61_RS18755"
"PA14_71330","","","4","4","1","1","1563","","","","206","206","206","NNL25_RS28695","PA14_71330","PA5403","QLX61_RS28650"
"NNL25_RS21295","","","4","4","1","1","748","","","","254","254","254","NNL25_RS21295","PA14_52090","PA0940","QLX61_RS21230"
"PA5488","","","4","4","1","1","1475","","","","878","878","878","NNL25_RS29125","PA14_72430","PA5488","QLX61_RS29080"
"modB","","","4","4","1","1","519","","","","686","686","686","NNL25_RS16325","PA14_40410","PA1862","QLX61_RS16555"
"QLX61_RS06985","","","4","4","1","1","5674","","","","815","815","815","NNL25_RS06970","PA14_17730","PA3598","QLX61_RS06985"
"QLX61_RS06265","","","4","4","1","1","5819","","","","425","425","425","NNL25_RS06250","PA14_16010","PA3741","QLX61_RS06265"
"ohrR","","","4","4","1","1","4846","","","","455","455","455","NNL25_RS10720","PA14_27230","PA2849","QLX61_RS10755"
"QLX61_RS08520","","","4","4","1","1","5366","","","","1052","1121","1086","NNL25_RS08480","PA14_21540","PA3286","QLX61_RS08520"
"relA","","","4","4","1","1","741","","","","2243","2243","2243","NNL25_RS21330","PA14_52180","PA0934","QLX61_RS21265"
"slyD","","","4","4","1","1","3242","","","","485","485","485","NNL25_RS21840","PA14_53430","PA0837","QLX61_RS21780"
"QLX61_RS23645","","","4","4","1","1","3650","","","","395","395","395","NNL25_RS23725","PA14_58040","PA4471","QLX61_RS23645"
"oprB","","","4","4","1","1","5236","","","","1364","1364","1364","NNL25_RS09015","PA14_23030","PA3186","QLX61_RS09055"
"PA14_18860","","","4","4","1","1","5587","","","","1073","1073","1073","NNL25_RS07400","PA14_18860","PA3515","QLX61_RS07410"
"QLX61_RS14080","","","4","4","1","1","4140","","","","365","365","365","NNL25_RS14050","PA14_34670","PA2318","QLX61_RS14080"
"aprF","","","4","4","1","1","3073","","","","1445","1445","1445","NNL25_RS19490","PA14_48090","PA1248","QLX61_RS19620"
"PA3225","","","4","4","1","1","5283","","","","929","929","929","NNL25_RS08810","PA14_22470","PA3225","QLX61_RS08850"
"purE","","","4","4","1","1","1539","","","","491","491","491","NNL25_RS28810","PA14_71620","PA5426","QLX61_RS28765"
"moaC","","","4","4","1","1","6043","","","","482","482","482","NNL25_RS05335","PA14_13230","PA3918","QLX61_RS05350"
"PA14_21590","","","4","4","1","1","5361","","","","734","734","734","NNL25_RS08505","PA14_21590","PA3282","QLX61_RS08545"
"PA5153","","","4","4","1","1","1821","","","","752","752","752","NNL25_RS27380","PA14_68070","PA5153","QLX61_RS27340"
"PA3435","","","4","4","1","1","5526","","","","452","452","452","NNL25_RS07700","PA14_19660","PA3435","QLX61_RS07720"
"serS","","","4","4","1","1","4531","","","","1280","1280","1280","NNL25_RS12060","PA14_30330","PA2612","QLX61_RS12430"
"PA14_19690","","","4","4","1","1","5522","","","","686","686","686","NNL25_RS07715","PA14_19690","PA3431","QLX61_RS07735"
"anvM","","","4","4","1","1","6001","","","","395","395","395","NNL25_RS05535","PA14_13720","PA3880","QLX61_RS05550"
"NNL25_RS08475","","","4","4","1","1","5367","","","","515","515","515","NNL25_RS08475","PA14_21530","PA3287","QLX61_RS08515"
"QLX61_RS08710","","","4","4","1","1","5329","","","","797","797","797","NNL25_RS08670","PA14_21920","PA3253","QLX61_RS08710"
"epd","","","4","4","1","1","6570","","","","1061","1061","1061","NNL25_RS02755","PA14_07170","PA0551","QLX61_RS02880"
"ureG","","","4","4","1","1","2089","","","","614","614","614","NNL25_RS26045","PA14_64670","PA4893","QLX61_RS25940"
"PA14_27070","","","4","4","1","1","4861","","","","434","434","434","NNL25_RS10640","PA14_27070","PA2864","QLX61_RS10675"
"QLX61_RS08590","","","4","4","1","1","5352","","","","383","599","491","NNL25_RS08550","PA14_21680","PA3273","QLX61_RS08590"
"rpoH","","","4","4","1","1","6751","","","","854","854","854","NNL25_RS01865","PA14_04930","PA0376","QLX61_RS01995"
"leuB","","","4","4","1","1","5125","","","","1082","1082","1082","NNL25_RS09350","PA14_23790","PA3118","QLX61_RS09385"
"groL","","","4","4","1","1","3737","","","","1643","1643","1643","NNL25_RS23290","PA14_57010","PA4385","QLX61_RS23210"
"wspD","","","4","4","1","1","5782","","","","689","689","689","NNL25_RS06435","PA14_16460","PA3705","QLX61_RS06450"
"PA3611","","","4","4","1","1","5687","","","","410","410","410","NNL25_RS06905","PA14_17600","PA3611","QLX61_RS06920"
"QLX61_RS28525","","","4","4","1","1","1588","","","","938","938","938","NNL25_RS28570","PA14_71030","PA5378","QLX61_RS28525"
"pyrB","","","4","4","1","1","6724","","","","1004","1004","1004","NNL25_RS02000","PA14_05260","PA0402","QLX61_RS02130"
"rpsI","","","4","4","1","1","3689","","","","392","392","392","NNL25_RS23530","PA14_57580","PA4432","QLX61_RS23450"
"metW","","","4","4","1","1","6738","","","","620","620","620","NNL25_RS01930","PA14_05070","PA0389","QLX61_RS02060"
"atpH","","","4","4","1","1","1398","","","","536","536","536","NNL25_RS29470","PA14_73280","PA5557","QLX61_RS29465"
"fliG","","","4","4","1","1","2397","","","","1016","1016","1016","NNL25_RS20235","PA14_50130","PA1102","QLX61_RS20400"
"rubA2","","","4","4","1","1","1618","","","","167","167","167","NNL25_RS28405","PA14_70630","PA5350","QLX61_RS28360"
"msuE","","","4","4","1","1","4178","","","","560","560","560","NNL25_RS13855","PA14_34180","PA2357","QLX61_RS13885"
"NNL25_RS24690","","","4","4","1","1","3418","","","","947","947","947","NNL25_RS24690","PA14_61550","PA4653","QLX61_RS24615"
"QLX61_RS20645","","","4","4","1","1","825","","","","464","464","464","NNL25_RS20535","PA14_50740","PA1053","QLX61_RS20645"
"mtgA","","","4","4","1","1","6749","","","","731","731","731","NNL25_RS01875","PA14_04950","PA0378","QLX61_RS02005"
"spuB","","","4","4","1","1","6833","","","","1358","1358","1358","NNL25_RS01455","PA14_03880","PA0298","QLX61_RS01585"
"rluC","","","4","4","1","1","4974","","","","956","956","956","NNL25_RS10075","PA14_25580","PA2975","QLX61_RS10110"
"QLX61_RS27335","","","4","4","1","1","1822","","","","773","773","773","NNL25_RS27375","PA14_68060","PA5152","QLX61_RS27335"
"PA1323","","","4","4","1","1","2517","","","","332","332","332","NNL25_RS19105","PA14_47130","PA1323","QLX61_RS18595"
"PA14_21840","","","4","4","1","1","5338","","","","746","746","746","NNL25_RS08625","PA14_21840","PA3261","QLX61_RS08665"
"hsbA","","","4","4","1","1","5431","","","","305","305","305","NNL25_RS08155","PA14_20770","PA3347","QLX61_RS08190"
"exsA","","","4","4","1","1","2616","","","","836","836","836","NNL25_RS17105","PA14_42390","PA1713","QLX61_RS17335"
"PA0377","","","4","4","1","1","6750","","","","605","605","605","NNL25_RS01870","PA14_04940","PA0377","QLX61_RS02000"
"cyoD","","","4","4","1","1","2520","","","","335","335","335","NNL25_RS19120","PA14_47160","PA1320","QLX61_RS18610"
"NNL25_RS05030","","","4","4","1","1","6109","","","","548","548","548","NNL25_RS05030","PA14_12370","PA3978","QLX61_RS05015"
"ppsA","","","4","4","1","1","2559","","","","2375","2375","2375","NNL25_RS16820","PA14_41670","PA1770","QLX61_RS17050"
"rpsB","","","4","4","1","1","5732","","","","740","740","740","NNL25_RS06680","PA14_17060","PA3656","QLX61_RS06695"
"NNL25_RS11825","","","4","4","1","1","4579","","","","314","314","314","NNL25_RS11825","PA14_29720","PA2658","QLX61_RS12195"
"rpoZ","","","4","4","1","1","1631","","","","266","266","266","NNL25_RS28340","PA14_70450","PA5337","QLX61_RS28295"
"fabZ","","","4","4","1","1","5721","","","","440","440","440","NNL25_RS06735","PA14_17190","PA3645","QLX61_RS06750"
"QLX61_RS08910","","","4","4","1","1","5264","","","","938","938","938","NNL25_RS08870","PA14_22660","PA3213","QLX61_RS08910"
"rpsT","","","4","4","1","1","3515","","","","275","275","275","NNL25_RS24210","PA14_60400","PA4563","QLX61_RS24135"
"rpoN","","","4","4","1","1","3659","","","","1493","1493","1493","NNL25_RS23680","PA14_57940","PA4462","QLX61_RS23600"
"PA0385","","","4","4","1","1","6742","","","","323","323","323","NNL25_RS01910","PA14_05030","PA0385","QLX61_RS02040"
"algR","","","4","4","1","1","1709","","","","746","746","746","NNL25_RS27955","PA14_69470","PA5261","QLX61_RS27910"
"QLX61_RS11400","","","4","4","1","1","4718","","","","287","287","287","NNL25_RS11350","PA14_28600","PA2747","QLX61_RS11400"
"QLX61_RS02860","","","4","4","1","1","6574","","","","1001","1001","1001","NNL25_RS02735","PA14_07110","PA0547","QLX61_RS02860"
"QLX61_RS14185","","","4","4","1","1","4119","","","","245","245","245","NNL25_RS14155","PA14_34920","PA2297","QLX61_RS14185"
"cysD","","","4","4","1","1","3678","","","","917","917","917","NNL25_RS23585","PA14_57720","PA4443","QLX61_RS23505"
"rbfA","","","4","4","1","1","2252","","","","389","389","389","NNL25_RS25275","PA14_62740","PA4743","QLX61_RS25125"
"PA14_21870","","","4","4","1","1","5334","","","","1748","1805","1790","NNL25_RS08645","PA14_21870","PA3258","QLX61_RS08685"
"QLX61_RS16225","","","4","4","1","1","586","","","","476","476","476","NNL25_RS16000","PA14_39630","PA1924","QLX61_RS16225"
"PA3472","","","4","4","1","1","5565","","","","596","596","596","NNL25_RS07510","PA14_19170","PA3472","QLX61_RS07520"
"ftsA","","","4","4","1","1","3714","","","","1253","1253","1253","NNL25_RS23405","PA14_57290","PA4408","QLX61_RS23325"
"rplQ","","","4","4","1","1","6368","","","","389","389","389","NNL25_RS03730","PA14_09130","PA4237","QLX61_RS03715"
"radA","","","4","4","1","1","3467","","","","1361","1361","1361","NNL25_RS24450","PA14_60990","PA4609","QLX61_RS24375"
"PA14_21030","","","4","4","1","1","5410","","","","605","605","605","NNL25_RS08260","PA14_21030","PA3326","QLX61_RS08295"
"PA14_13670","","","4","4","1","1","6005","","","","386","386","386","NNL25_RS05515","PA14_13670","PA3884","QLX61_RS05530"
"nuoH","","","4","4","1","1","4563","","","","995","995","995","NNL25_RS11905","PA14_29930","PA2643","QLX61_RS12275"
"ftsX","","","4","4","1","1","6752","","","","1007","1007","1007","NNL25_RS01860","PA14_04920","PA0375","QLX61_RS01990"
"QLX61_RS22960","","","4","4","1","1","3786","","","","611","611","611","NNL25_RS23040","PA14_56380","PA4337","QLX61_RS22960"
"QLX61_RS08700","","","4","4","1","1","5331","","","","578","617","597","NNL25_RS08660","PA14_21900","PA3255","QLX61_RS08700"
"PA3762","","","4","4","1","1","5840","","","","317","317","317","NNL25_RS06145","PA14_15770","PA3762","QLX61_RS06160"
"katB","","","4","4","1","1","3463","","","","1541","1541","1541","NNL25_RS24470","PA14_61040","PA4613","QLX61_RS24395"
"pqqC","","","4","4","1","1","361","","","","752","752","752","NNL25_RS15700","PA14_38800","PA1987","QLX61_RS15925"
"mraY","","","4","4","1","1","3707","","","","1082","1082","1082","NNL25_RS23440","PA14_57380","PA4415","QLX61_RS23360"
"purT","","","4","4","1","1","5829","","","","1181","1181","1181","NNL25_RS06200","PA14_15890","PA3751","QLX61_RS06215"
"ctaD","","","4","4","1","1","1072","","","","1592","1592","1592","NNL25_RS00560","PA14_01300","PA0106","QLX61_RS00650"
"PA14_00430","","","4","4","1","1","998","","","","623","623","623","NNL25_RS00175","PA14_00430","PA0034","QLX61_RS00210"
"flgC","","","4","4","1","1","2370","","","","440","440","440","NNL25_RS20410","PA14_50470","PA1078","QLX61_RS20520"
"alpR","","","4","4","1","1","713","","","","713","713","713","NNL25_RS21475","PA14_52530","PA0906","QLX61_RS21410"
"QLX61_RS29020","","","4","4","1","1","1488","","","","560","560","560","NNL25_RS29065","PA14_72260","PA5475","QLX61_RS29020"
"QLX61_RS08735","","","4","4","1","1","5324","","","","551","665","579","NNL25_RS08695","PA14_21980","PA3248","QLX61_RS08735"
"atpC","","","4","4","1","1","1402","","","","425","425","425","NNL25_RS29450","PA14_73230","PA5553","QLX61_RS29445"
"NNL25_RS24030","","","4","4","1","1","3587","","","","209","209","209","NNL25_RS24030","PA14_58800","PA4531","QLX61_RS23955"
"PA14_12570","","","4","4","1","1","6095","","","","509","509","509","NNL25_RS05100","PA14_12570","PA3965","QLX61_RS05085"
"kdpF","","","4","4","1","1","2699","","","","89","89","89","NNL25_RS17525","PA14_43405","PA1632","QLX61_RS17755"
"PA14_04590","","","4","4","1","1","6777","","","","473","473","473","NNL25_RS01735","PA14_04590","PA0351","QLX61_RS01865"
"pyrE","","","4","4","1","1","1637","","","","641","641","641","NNL25_RS28310","PA14_70370","PA5331","QLX61_RS28265"
"miaB","","","4","4","1","1","6111","","","","1340","1340","1340","NNL25_RS05020","PA14_12350","PA3980","QLX61_RS05005"
"PA14_54240","","","4","4","1","1","3308","","","","572","572","572","NNL25_RS22160","PA14_54240","PA0776","QLX61_RS22105"
"vacJ","","","4","4","1","1","5306","","","","803","803","803","NNL25_RS08740","PA14_22290","PA3239","QLX61_RS08780"
"QLX61_RS23760","","","4","4","1","1","3627","","","","1268","1268","1268","NNL25_RS23840","PA14_58320","PA4494","QLX61_RS23760"
"PA14_13510","","","4","4","1","1","6018","","","","953","953","953","NNL25_RS05450","PA14_13510","PA3895","QLX61_RS05465"
"hpcB","","","4","4","1","1","6253","","","","923","923","923","NNL25_RS04295","PA14_10620","PA4124","QLX61_RS04280"
"QLX61_RS07290","","","4","4","1","1","5611","","","","1082","1082","1082","NNL25_RS07280","PA14_18600","PA3538","QLX61_RS07290"
"NNL25_RS08940","","","4","4","1","1","5250","","","","629","629","629","NNL25_RS08940","PA14_22830","PA3199","QLX61_RS08980"
"NNL25_RS26875","","","4","4","1","1","1921","","","","371","371","371","NNL25_RS26875","PA14_66800","PA5055","QLX61_RS26765"
"PA1315","","","4","4","1","1","2525","","","","614","614","614","NNL25_RS19145","PA14_47240","PA1315","QLX61_RS18635"
"QLX61_RS26455","","","4","4","1","1","1984","","","","920","920","920","NNL25_RS26565","PA14_66020","PA4993","QLX61_RS26455"
"psrA","","","4","4","1","1","5006","","","","701","701","701","NNL25_RS09915","PA14_25180","PA3006","QLX61_RS09950"
"pilZ","","","4","4","1","1","4959","","","","356","356","356","NNL25_RS10150","PA14_25770","PA2960","QLX61_RS10185"
"PA14_22560","","","4","4","1","1","5276","","","","893","899","897","NNL25_RS08825","PA14_22560","PA3222","QLX61_RS08865"
"sodB","","","4","4","1","1","3757","","","","581","581","581","NNL25_RS23190","PA14_56780","PA4366","QLX61_RS23110"
"QLX61_RS02945","","","4","4","1","1","6556","","","","338","338","338","NNL25_RS02825","PA14_07355","PA0565","QLX61_RS02945"
"PA1230","","","4","4","1","1","3101","","","","197","197","197","NNL25_RS19580","PA14_48380","PA1230","QLX61_RS19740"
"PA4377","","","4","4","1","1","3746","","","","242","242","242","NNL25_RS23245","PA14_56910","PA4377","QLX61_RS23165"
"anr","","","4","4","1","1","2789","","","","734","734","734","NNL25_RS17980","PA14_44490","PA1544","QLX61_RS18210"
"thrS","","","4","4","1","1","4714","","","","1922","1922","1922","NNL25_RS11370","PA14_28650","PA2744","QLX61_RS11420"
"QLX61_RS18220","","","4","4","1","1","2791","","","","836","836","836","NNL25_RS17990","PA14_44510","PA1542","QLX61_RS18220"
"fruR","","","4","4","1","1","5636","","","","989","989","989","NNL25_RS07155","PA14_18230","PA3563","QLX61_RS07165"
"soxD","","","4","4","1","1","1548","","","","320","320","320","NNL25_RS28765","PA14_71490","PA5417","QLX61_RS28720"
"hisM","","","4","4","1","1","4923","","","","713","713","713","NNL25_RS10335","PA14_26220","PA2925","QLX61_RS10370"
"QLX61_RS08900","","","4","4","1","1","5266","","","","1013","1013","1013","NNL25_RS08860","PA14_22640","PA3215","QLX61_RS08900"
"QLX61_RS08905","","","4","4","1","1","5265","","","","644","644","644","NNL25_RS08865","PA14_22650","PA3214","QLX61_RS08905"
"NNL25_RS06900","","","4","4","1","1","5688","","","","221","221","221","NNL25_RS06900","PA14_17590","PA3612","QLX61_RS06915"
"rnhA","","","4","4","1","1","469","","","","446","446","446","NNL25_RS16565","PA14_41060","PA1815","QLX61_RS16795"
"rpsM","","","4","4","1","1","6372","","","","356","356","356","NNL25_RS03710","PA14_09080","PA4241","QLX61_RS03695"
"NNL25_RS08535","","","4","4","1","1","5355","","","","422","422","422","NNL25_RS08535","PA14_21650","PA3276","QLX61_RS08575"
"PA4724.1","","","4","4","1","1","2271","","","","176","176","176","NNL25_RS25180","PA14_62520","PA4724.1","QLX61_RS25030"
"PA0271","","","4","4","1","1","6860","","","","284","284","284","NNL25_RS01320","PA14_03520","PA0271","QLX61_RS01450"
"rpsA","","","4","4","1","1","5212","","","","1679","1679","1679","NNL25_RS09135","PA14_23330","PA3162","QLX61_RS09175"
"PA3309","","","4","4","1","1","5393","","","","455","455","455","NNL25_RS08345","PA14_21220","PA3309","QLX61_RS08380"
"prpC","","","4","4","1","1","3287","","","","1127","1127","1127","NNL25_RS22060","PA14_53950","PA0795","QLX61_RS22005"
"QLX61_RS08940","","","4","4","1","1","5258","","","","476","479","478","NNL25_RS08900","PA14_22720","PA3207","QLX61_RS08940"
"gcdH","","","4","4","1","1","6681","","","","1181","1181","1181","NNL25_RS02215","PA14_05840","PA0447","QLX61_RS02345"
"group_2631","hexR","","4","4","1","1","1526","","","","881","881","881","NNL25_RS28875","PA14_71780","PA5438","QLX61_RS28830"
"pnuC","","","4","4","1","1","391","","","","575","575","575","NNL25_RS15850","PA14_39200","PA1958","QLX61_RS16075"
"glpM","","","4","4","1","1","5661","","","","329","329","329","NNL25_RS07035","PA14_17920","PA3585","QLX61_RS07050"
"dps","","","4","4","1","1","772","","","","470","470","470","NNL25_RS21180","PA14_51830","PA0962","QLX61_RS21115"
"amrZ","","","4","4","1","1","5474","","","","326","326","326","NNL25_RS07955","PA14_20290","PA3385","QLX61_RS07975"
"rodA","","","4","4","1","1","6132","","","","1103","1103","1103","NNL25_RS04915","PA14_12070","PA4002","QLX61_RS04900"
"etfA","","","4","4","1","1","4950","","","","929","929","929","NNL25_RS10195","PA14_25880","PA2951","QLX61_RS10230"
"lasI","","","4","4","1","1","2923","","","","605","605","605","NNL25_RS18545","PA14_45940","PA1432","QLX61_RS19195"
"QLX61_RS19900","","","4","4","1","1","3137","","","","617","617","617","NNL25_RS19740","PA14_48800","PA1198","QLX61_RS19900"
"PA14_22770","","","4","4","1","1","5254","","","","362","368","363","NNL25_RS08920","PA14_22770","PA3203","QLX61_RS08960"
"pilH","","","4","4","1","1","6717","","","","365","365","365","NNL25_RS02035","PA14_05330","PA0409","QLX61_RS02165"
"dgkA","","","4","4","1","1","5679","","","","371","371","371","NNL25_RS06945","PA14_17675","PA3603","QLX61_RS06960"
"htpX","","","4","4","1","1","4827","","","","875","875","875","NNL25_RS10815","PA14_27480","PA2830","QLX61_RS10850"
"rpmJ2","","","4","4","1","1","5676","","","","152","152","152","NNL25_RS06960","PA14_17710","PA3600","QLX61_RS06975"
"QLX61_RS23765","","","4","4","1","1","3626","","","","710","710","710","NNL25_RS23845","PA14_58330","PA4495","QLX61_RS23765"
"pyeR","","","4","4","1","1","3769","","","","302","302","302","NNL25_RS23125","PA14_56620","PA4354","QLX61_RS23045"
"ntrC","","","4","4","1","1","1852","","","","1430","1430","1430","NNL25_RS27225","PA14_67680","PA5125","QLX61_RS27115"
"NNL25_RS02170","","","4","4","1","1","6690","","","","620","620","620","NNL25_RS02170","PA14_05660","PA0436","QLX61_RS02300"
"PA3893","","","4","4","1","1","6016","","","","2195","2195","2195","NNL25_RS05460","PA14_13530","PA3893","QLX61_RS05475"
"oprF","","","4","4","1","1","426","","","","1052","1052","1052","NNL25_RS16785","PA14_41570","PA1777","QLX61_RS17015"
"PA14_42730","","","4","4","1","1","2646","","","","545","545","545","NNL25_RS17255","PA14_42730","PA1684","QLX61_RS17485"
"fklB","","","4","4","1","1","3505","","","","617","617","617","NNL25_RS24255","PA14_60500","PA4572","QLX61_RS24180"
"rpmF","","","4","4","1","1","4969","","","","182","182","182","NNL25_RS10100","PA14_25630","PA2970","QLX61_RS10135"
"pnp","","","4","4","1","1","2255","","","","2105","2105","2105","NNL25_RS25260","PA14_62710","PA4740","QLX61_RS25110"
"QLX61_RS18930","","","4","4","1","1","2829","","","","806","806","806","NNL25_RS18285","PA14_45250","PA1484","QLX61_RS18930"
"sth","","","4","4","1","1","4991","","","","1394","1394","1394","NNL25_RS09990","PA14_25390","PA2991","QLX61_RS10025"
"atvR","","","4","4","1","1","4897","","","","638","638","638","NNL25_RS10465","PA14_26570","PA2899","QLX61_RS10500"
"cheR","","","4","4","1","1","5432","","","","824","824","824","NNL25_RS08150","PA14_20760","PA3348","QLX61_RS08185"
"PA1106","","","4","4","1","1","2401","","","","713","713","713","NNL25_RS20215","PA14_50070","PA1106","QLX61_RS20380"
"QLX61_RS10790","","","4","4","1","1","4839","","","","749","749","749","NNL25_RS10755","PA14_27350","PA2842","QLX61_RS10790"
"pgl","","","4","4","1","1","5232","","","","716","716","716","NNL25_RS09035","PA14_23080","PA3182","QLX61_RS09075"
"PA2901","","","4","4","1","1","4899","","","","359","359","359","NNL25_RS10455","PA14_26550","PA2901","QLX61_RS10490"
"rplE","","","4","4","1","1","6382","","","","539","539","539","NNL25_RS03660","PA14_08970","PA4251","QLX61_RS03645"
"PA2173","","","4","4","1","1","166","","","","350","350","350","NNL25_RS14765","PA14_36490","PA2173","QLX61_RS15000"
"QLX61_RS03975","","","4","4","1","1","6315","","","","728","728","728","NNL25_RS03990","PA14_09760","PA4185","QLX61_RS03975"
"PA1076","","","4","4","1","1","2368","","","","362","362","362","NNL25_RS20420","PA14_50500","PA1076","QLX61_RS20530"
"QLX61_RS08365","","","4","4","1","1","5396","","","","890","890","890","NNL25_RS08330","PA14_21180","PA3312","QLX61_RS08365"
"cyoE","","","4","4","1","1","2519","","","","890","890","890","NNL25_RS19115","PA14_47150","PA1321","QLX61_RS18605"
"aceE","","","4","4","1","1","1961","","","","2648","2648","2648","NNL25_RS26675","PA14_66290","PA5015","QLX61_RS26565"
"spuF","","","4","4","1","1","6829","","","","1154","1154","1154","NNL25_RS01475","PA14_03940","PA0302","QLX61_RS01605"
"NNL25_RS10980","","","4","4","1","1","4794","","","","191","191","191","NNL25_RS10980","PA14_27830","PA2808","QLX61_RS11015"
"QLX61_RS09095","","","4","4","1","1","5228","","","","377","377","377","NNL25_RS09055","PA14_23120","PA3178","QLX61_RS09095"
"hflK","","","4","4","1","1","2037","","","","1202","1202","1202","NNL25_RS26300","PA14_65280","PA4942","QLX61_RS26195"
"PA14_21290","","","4","4","1","1","5386","","","","857","857","857","NNL25_RS08380","PA14_21290","PA3304","QLX61_RS08420"
"QLX61_RS06555","","","4","4","1","1","5760","","","","347","347","347","NNL25_RS06540","PA14_16720","PA3684","QLX61_RS06555"
"hisB","","","4","4","1","1","1833","","","","593","593","593","NNL25_RS27320","PA14_67930","PA5143","QLX61_RS27210"
"proB","","","4","4","1","1","3513","","","","1118","1118","1118","NNL25_RS24220","PA14_60420","PA4565","QLX61_RS24145"
"PA14_72960","","","4","4","1","1","1432","","","","1307","1307","1307","NNL25_RS29335","PA14_72960","PA5530","QLX61_RS29295"
"mexF","","","4","4","1","1","4359","","","","3188","3188","3188","NNL25_RS13130","PA14_32390","PA2494","QLX61_RS13065"
"hupB","","","4","4","1","1","457","","","","272","272","272","NNL25_RS16625","PA14_41210","PA1804","QLX61_RS16855"
"atpA","","","4","4","1","1","1399","","","","1544","1544","1544","NNL25_RS29465","PA14_73260","PA5556","QLX61_RS29460"
"PA3088","","","4","4","1","1","5090","","","","887","887","887","NNL25_RS09515","PA14_24220","PA3088","QLX61_RS09550"
"wbpM","","","4","4","1","1","5184","","","","1997","1997","1997","NNL25_RS09220","PA14_23470","PA3141","QLX61_RS09245"
"rpsU","","","4","4","1","1","6490","","","","215","215","215","NNL25_RS03110","PA14_07560","PA0579","QLX61_RS03090"
"rsd","","","4","4","1","1","1715","","","","482","482","482","NNL25_RS27925","PA14_69390","PA5255","QLX61_RS27880"
"group_2682","fabG","","4","4","1","1","3733","","","","758","758","758","NNL25_RS23310","PA14_57050","PA4389","QLX61_RS23230"
"QLX61_RS19170","","","4","4","1","1","2918","","","","689","689","689","NNL25_RS18520","PA14_45880","PA1437","QLX61_RS19170"
"bfrB","","","4","4","1","1","5604","","","","476","476","476","NNL25_RS07315","PA14_18670","PA3531","QLX61_RS07325"
"mreC","","","4","4","1","1","3641","","","","992","992","992","NNL25_RS23770","PA14_58130","PA4480","QLX61_RS23690"
"rplL","","","4","4","1","1","6402","","","","368","368","368","NNL25_RS03560","PA14_08750","PA4271","QLX61_RS03545"
"PA14_68090","","","4","4","1","1","1819","","","","692","692","692","NNL25_RS27390","PA14_68090","PA5155","QLX61_RS27350"
"glnA","","","4","4","1","1","1858","","","","1409","1409","1409","NNL25_RS27195","PA14_67600","PA5119","QLX61_RS27085"
"yajC","","","4","4","1","1","5932","","","","338","338","338","NNL25_RS05830","PA14_14610","PA3822","QLX61_RS05825"
